"Framework","Strategy","Status","Cost","Depth","Nodes(exp)","Nodes(gen)","Re-Exp","1st Sol T","Runtime","start","goal","Problem","Solution"
"graph","a-star","Optimal","2.4100000","2","14","13","0","0.0008","0.0017","(124, 256)","(125, 258)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","3.8200000","3","19","18","0","0.0004","0.0013","(159, 99)","(162, 101)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","3.4100000","3","17","16","0","0.0004","0.0013","(130, 112)","(131, 109)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","2.4100000","2","14","13","0","0.0002","0.0009","(94, 101)","(93, 103)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","2.4100000","2","14","13","0","0.0003","0.001","(58, 111)","(60, 110)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","3.8200000","3","19","18","0","0.0004","0.0014","(83, 93)","(80, 95)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","3.8200000","3","19","18","0","0.0003","0.0013","(48, 262)","(46, 259)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","2.4100000","2","14","13","0","0.0003","0.001","(39, 270)","(40, 268)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","1.0000000","1","9","8","0","0.0001","0.0003","(101, 237)","(102, 237)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","1.0000000","1","6","5","0","0.0001","0.0004","(178, 274)","(178, 273)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","6.6400000","5","28","27","0","0.0006","0.0021","(99, 102)","(104, 98)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","4.0000000","4","18","17","0","0.0004","0.0013","(113, 69)","(117, 69)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","7.0000000","7","27","26","0","0.0007","0.0019","(138, 256)","(131, 256)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","7.2300000","6","33","29","3","0.0006","0.0023","(123, 118)","(126, 112)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","6.4100000","6","27","25","1","0.0004","0.002","(128, 141)","(129, 147)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","5.2300000","4","24","23","0","0.0005","0.0017","(40, 140)","(44, 137)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","7.2300000","6","28","24","3","0.0006","0.0021","(53, 239)","(50, 245)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","4.0000000","4","18","17","0","0.0004","0.0013","(143, 164)","(143, 160)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","5.6400000","4","24","23","0","0.0003","0.0016","(73, 170)","(69, 174)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","6.4100000","6","24","22","1","0.0005","0.0016","(123, 264)","(122, 258)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","10.410000","10","39","37","1","0.0009","0.0028","(91, 82)","(101, 81)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","11.280000","8","43","42","0","0.0009","0.0033","(98, 108)","(106, 116)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","11.870000","9","46","44","1","0.0009","0.0034","(139, 194)","(132, 185)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","10.870000","8","44","43","0","0.001","0.003","(90, 196)","(98, 189)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","10.230000","9","50","41","8","0.0006","0.0034","(144, 268)","(141, 277)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","9.8200000","9","31","30","0","0.0009","0.0022","(91, 263)","(100, 263)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","10.410000","10","39","37","1","0.0011","0.0028","(87, 122)","(97, 123)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","10.000000","10","36","35","0","0.001","0.0025","(136, 168)","(136, 178)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","10.460000","8","43","41","1","0.001","0.0035","(43, 150)","(51, 144)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","9.8200000","9","66","43","22","0.0009","0.005","(39, 130)","(31, 133)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","14.870000","12","79","63","15","0.0014","0.0063","(113, 192)","(106, 180)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","15.460000","13","101","73","27","0.0017","0.0085","(166, 221)","(153, 227)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","15.640000","14","76","59","16","0.0014","0.0059","(49, 161)","(45, 147)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","15.640000","14","93","71","21","0.0014","0.0071","(74, 270)","(60, 274)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","15.050000","13","74","61","12","0.0014","0.0057","(157, 126)","(170, 121)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","14.640000","13","85","66","18","0.0014","0.0065","(95, 202)","(82, 206)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","14.640000","13","60","52","7","0.0013","0.0045","(132, 183)","(128, 196)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","12.820000","12","56","45","10","0.001","0.0044","(167, 121)","(169, 133)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","15.410000","15","51","49","1","0.0016","0.0039","(164, 90)","(165, 105)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","12.870000","10","59","49","9","0.0012","0.0049","(189, 256)","(196, 266)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","16.690000","13","85","69","15","0.0017","0.0073","(49, 129)","(36, 138)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","18.820000","18","79","68","10","0.0018","0.0063","(154, 254)","(136, 256)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","16.920000","12","64","63","0","0.0015","0.0052","(50, 95)","(38, 107)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","16.460000","14","114","80","33","0.0014","0.0084","(72, 161)","(78, 175)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","19.820000","19","83","72","10","0.0022","0.0069","(92, 117)","(94, 136)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","19.330000","14","71","70","0","0.0019","0.0061","(67, 264)","(81, 251)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","16.050000","14","79","62","16","0.0014","0.0058","(18, 128)","(13, 114)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","18.640000","17","123","88","34","0.0019","0.01","(135, 167)","(139, 184)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","19.870000","17","131","83","47","0.002","0.0115","(95, 82)","(102, 99)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","16.100000","12","63","61","1","0.0018","0.0053","(67, 128)","(77, 116)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","23.740000","18","114","93","20","0.0009","0.0033","(149, 169)","(131, 183)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","23.640000","22","151","111","39","0.0007","0.0041","(75, 172)","(79, 194)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","21.510000","17","139","105","33","0.0007","0.0038","(154, 167)","(137, 156)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","23.050000","21","186","123","62","0.0008","0.0052","(122, 200)","(117, 179)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","23.230000","22","123","100","22","0.0008","0.0033","(150, 105)","(153, 83)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","22.100000","18","162","117","44","0.0006","0.0045","(124, 179)","(114, 161)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","20.280000","17","142","101","40","0.0009","0.0064","(159, 156)","(151, 139)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","22.870000","20","234","134","99","0.0014","0.013","(105, 84)","(85, 77)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","21.100000","17","135","102","32","0.0016","0.0061","(41, 95)","(58, 105)","./example/gridmap/arena2.map","Hidden"
