Framework | Strategy  | Status    | Cost      | Depth     | Nodes(exp)| Nodes(gen)| Runtime   | start     | goal      | Problem             | Solution            
graph     | a-star    | Success   | 2.4100000 | 2         | 3         | 13        | 0.0003    | (124, 256)| (125, 258)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 3.8200000 | 3         | 4         | 18        | 0.0001    | (159, 99) | (162, 101)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 3.4100000 | 3         | 4         | 16        | 0.0001    | (130, 112)| (131, 109)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 2.4100000 | 2         | 3         | 13        | 0.0001    | (94, 101) | (93, 103) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 2.4100000 | 2         | 3         | 13        | 0.0001    | (58, 111) | (60, 110) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 3.8200000 | 3         | 4         | 18        | 0.0001    | (83, 93)  | (80, 95)  | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 3.8200000 | 3         | 4         | 18        | 0.0001    | (48, 262) | (46, 259) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 2.4100000 | 2         | 3         | 13        | 0.0001    | (39, 270) | (40, 268) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 1.0000000 | 1         | 2         | 8         | 0.0       | (101, 237)| (102, 237)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 1.0000000 | 1         | 2         | 5         | 0.0       | (178, 274)| (178, 273)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 6.6400000 | 5         | 6         | 27        | 0.0002    | (99, 102) | (104, 98) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 4.0000000 | 4         | 5         | 17        | 0.0001    | (113, 69) | (117, 69) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 7.0000000 | 7         | 8         | 26        | 0.0002    | (138, 256)| (131, 256)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 7.2300000 | 6         | 12        | 34        | 0.0004    | (123, 118)| (126, 112)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 6.4100000 | 6         | 7         | 25        | 0.0002    | (128, 141)| (129, 147)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 5.2300000 | 4         | 5         | 23        | 0.0001    | (40, 140) | (44, 137) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 7.2300000 | 6         | 12        | 30        | 0.0004    | (53, 239) | (50, 245) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 4.0000000 | 4         | 5         | 17        | 0.0002    | (143, 164)| (143, 160)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 5.6400000 | 4         | 5         | 23        | 0.0001    | (73, 170) | (69, 174) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 6.4100000 | 6         | 7         | 22        | 0.0002    | (123, 264)| (122, 258)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 10.410000 | 10        | 11        | 37        | 0.0005    | (91, 82)  | (101, 81) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 11.280000 | 8         | 9         | 42        | 0.0003    | (98, 108) | (106, 116)| ./example/gridmap/arena2.map| Hidden              
