Framework | Strategy  | Status    | Cost      | Depth     | Nodes(exp)| Nodes(gen)| Runtime   | start     | goal      | Problem             | Solution            
graph     | a-star    | Success   | 2.4100000 | 2         | 3         | 13        | 0.001     | (124, 256)| (125, 258)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 3.8200000 | 3         | 4         | 18        | 0.0005    | (159, 99) | (162, 101)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 3.4100000 | 3         | 4         | 16        | 0.0005    | (130, 112)| (131, 109)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 2.4100000 | 2         | 3         | 13        | 0.0005    | (94, 101) | (93, 103) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 2.4100000 | 2         | 3         | 13        | 0.0004    | (58, 111) | (60, 110) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 3.8200000 | 3         | 4         | 18        | 0.0005    | (83, 93)  | (80, 95)  | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 3.8200000 | 3         | 4         | 18        | 0.0005    | (48, 262) | (46, 259) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 2.4100000 | 2         | 3         | 13        | 0.0003    | (39, 270) | (40, 268) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 1.0000000 | 1         | 2         | 8         | 0.0001    | (101, 237)| (102, 237)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 1.0000000 | 1         | 2         | 5         | 0.0001    | (178, 274)| (178, 273)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 6.6400000 | 5         | 6         | 27        | 0.0008    | (99, 102) | (104, 98) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 4.0000000 | 4         | 5         | 17        | 0.0006    | (113, 69) | (117, 69) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 7.0000000 | 7         | 8         | 26        | 0.0011    | (138, 256)| (131, 256)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 7.2300000 | 6         | 7         | 29        | 0.001     | (123, 118)| (126, 112)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 6.4100000 | 6         | 7         | 25        | 0.001     | (128, 141)| (129, 147)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 5.2300000 | 4         | 5         | 23        | 0.0007    | (40, 140) | (44, 137) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 7.2300000 | 6         | 7         | 24        | 0.0009    | (53, 239) | (50, 245) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 4.0000000 | 4         | 5         | 17        | 0.0006    | (143, 164)| (143, 160)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 6.2300000 | 5         | 6         | 26        | 0.001     | (73, 170) | (69, 174) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 6.4100000 | 6         | 7         | 22        | 0.0011    | (123, 264)| (122, 258)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 10.410000 | 10        | 11        | 37        | 0.0019    | (91, 82)  | (101, 81) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 11.870000 | 9         | 10        | 45        | 0.0016    | (98, 108) | (106, 116)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 11.870000 | 9         | 10        | 44        | 0.0019    | (139, 194)| (132, 185)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 10.870000 | 8         | 9         | 41        | 0.0016    | (90, 196) | (98, 189) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 10.230000 | 9         | 10        | 38        | 0.0014    | (144, 268)| (141, 277)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 9.8200000 | 9         | 10        | 30        | 0.0013    | (91, 263) | (100, 263)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 10.410000 | 10        | 11        | 37        | 0.0016    | (87, 122) | (97, 123) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 10.000000 | 10        | 11        | 35        | 0.0016    | (136, 168)| (136, 178)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 10.460000 | 8         | 9         | 41        | 0.0013    | (43, 150) | (51, 144) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 11.460000 | 9         | 11        | 40        | 0.0015    | (39, 130) | (31, 133) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 14.870000 | 12        | 13        | 55        | 0.0021    | (113, 192)| (106, 180)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 15.460000 | 13        | 14        | 56        | 0.0023    | (166, 221)| (153, 227)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 15.640000 | 14        | 15        | 55        | 0.0026    | (49, 161) | (45, 147) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 15.640000 | 14        | 15        | 55        | 0.0025    | (74, 270) | (60, 274) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 15.050000 | 13        | 14        | 49        | 0.0024    | (157, 126)| (170, 121)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 14.640000 | 13        | 14        | 52        | 0.0027    | (95, 202) | (82, 206) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 14.640000 | 13        | 14        | 46        | 0.0023    | (132, 183)| (128, 196)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 12.820000 | 12        | 13        | 45        | 0.0018    | (167, 121)| (169, 133)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 15.410000 | 15        | 16        | 49        | 0.0025    | (164, 90) | (165, 105)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 12.870000 | 10        | 11        | 49        | 0.0014    | (189, 256)| (196, 266)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 16.690000 | 13        | 14        | 62        | 0.0008    | (49, 129) | (36, 138) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 18.820000 | 18        | 19        | 63        | 0.0009    | (154, 254)| (136, 256)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 17.510000 | 13        | 14        | 66        | 0.0009    | (50, 95)  | (38, 107) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 16.460000 | 14        | 15        | 54        | 0.0007    | (72, 161) | (78, 175) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 19.820000 | 19        | 20        | 66        | 0.001     | (92, 117) | (94, 136) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 19.330000 | 14        | 15        | 71        | 0.0008    | (67, 264) | (81, 251) | ./example/gridmap/arena2.map| Hidden              
